user_id,recency,frequency,avg_monetary_value,vintage_in_days,predicted_churn_probability_LR,predicted_churn_probability_SVM
00f9487cda8216e105a93898b97ee0de68726e7fd58eace6a82ad2ba5059579c,27,3,169,101,10%,8%
00fb8628be79ccd078d9446e624aebc2969e7615e880adbc330ca849e6b68c53,19,38,503,110,99%,94%
00fbdc01680472c1c29ef23207bbc2cd3f9a706cc36f2200c7aff48499ee7cdc,28,4,153,106,11%,10%
01001b837eac5f9f724d05dc4310fb95f0fe87b806fa195aa994302b040b4cde,84,2,158,26,72%,77%
0102aef51954348ea1a9c5b3ebe1c9eeaad0f0c39e4df5a907bc1237b5049620,52,6,422,75,44%,51%
0105b078b975b6f3291313b700f7782889355eb51524bb2b939ca435d3b46e82,21,20,296,102,74%,84%
010944586efd92e15fe9ea8e2da6fa2f34565a12efe35f389fee57aef597b09c,39,2,436,56,29%,6%
010c8fa527fd174b6ecdcf31563e5b71057da2328693bd5cec28ce84d7bc1bcd,32,7,293,11,74%,98%
0110f70abeff087b0fc0ca2c44e99db1c4cbb3228f1ad132215cefc607af75b0,27,7,389,51,48%,54%
0111a82be23aff0278546f88232c848e09f7d2ee3e2c0beacc612e8aba6855ec,28,7,443,108,18%,18%
011c55e1605546ff8ccdfc1e9e58ce3de6fd467a229a5f10ccd3260c175f1f85,23,26,450,101,91%,94%
011e14c7f735a81578cc5d83fd7d4017434c21b4755283113aed11c136a7f16d,51,8,411,83,48%,68%
0123ef14c79137b6b97b899798f489a99d9e852e376862311d319335d69a555c,18,25,593,77,93%,99%
012c07ca4e1d295917d5f3e2baa908a42cdd93a6fd921f88f0ee9622c8d3bd56,51,7,537,71,51%,68%
012e0a6356a466e1e1a929b52d22aac84b760ccf5ba2bd9d9e5284ed413089dc,21,4,206,15,52%,64%
01397abb7cc39c3293ef4b209107a5cc7ece6258a96633714249da19262bd4af,20,4,229,116,7%,12%
0144f2a801f71a7219a8835320c136a823e74fee0c6385de099978fbd7130fc2,32,11,247,103,37%,49%
01462cfaa0d9e2f041e2447bfad26095104ab98456500f6210a0a78a1d4a52dd,25,16,375,104,57%,69%
014c5284d0292c5f07774c747de5a94d235d943184aa262598e513f291342511,106,2,108,2,89%,100%
014d8c95ad298831a205baa02bfce45870446b2b1ef90546679c4c6b711b4498,63,3,334,6,76%,99%
0152604b57856031d6fe1867306d87a28731e6d9cbd1e75670053f4e27043f6c,24,39,346,101,99%,98%
01572862005958a16ad9d0cd99e8708b43faf25bda5614a5fa34f079b33c407e,24,7,374,102,19%,18%
015b2d72e5b117c8063dba85e96bcf3ee811e2a027d8d813defa9b416a66a7aa,18,6,835,21,60%,70%
015f8e97dcd23dac72fbe69d17742afa3f12e303e67876252eeeae0b4da34f48,30,7,392,105,20%,19%
0161b42f73c700cf3be7c45b504dced757b64006228aa8267a74dc46e31b26e3,19,10,294,94,31%,39%
01628283df8f0e61019c2f5e51f22c0444c4f735d4df7526fc543ff2a6ef0dc3,25,10,455,89,38%,47%
0163194fcca9fc42e89a8f7b74f8442c84b9fb701662a7921221f5126d601264,20,3,156,107,7%,8%
0165295757070b63972e7bdd336eee219c0b7e2ea77234319383fefcc2986910,19,50,406,119,100%,91%
0166a0bacaea8e56232af82523893964948bc6d979d92515b3d99cdfbe09fb86,35,2,218,10,54%,73%
016740937b1567671a51e84dadd2de4144a9a2085f9a821c539be6e7e8b427ab,20,7,1107,88,26%,17%
016ae0db29b608d9fc1fcf20d066f05f52230b1c0f8b68822426d3cdc15434d3,20,16,341,116,46%,58%
016ce8aa43d86931a096e8092a3718bd5edb4d74dbcb31fb66fd0f9d01f0fca7,57,5,337,64,48%,44%
016db8d1dc42036642d6232f86a932d23b6938316dfbb31be9c61a667b088198,27,23,398,105,85%,91%
016f59d31174c81d0a7255b1576cb378b8bde022ed1fc04f637da2f5b390c44b,20,22,669,105,80%,81%
01700e58781e63056190f26db10c8ea34131a4d8f4e2c386dd5d7eee7605d1cf,18,20,442,29,95%,100%
017157ffd637073c4301f183fc0ff1d0c2c7c8125cde85be128996ae463d2690,27,2,118,72,16%,7%
0173d300b6ff721bf08f998e65efd679a5ec72a78a9d3cc4f848474538fa533b,28,3,301,53,29%,10%
0176d5fec8f1e6e140d067df689a18b73e64dd22b9c835b13157215a000f901c,35,2,250,22,46%,23%
0178bf7648e3314268d31d7f2f7f8ef3ba9ad7bbfa8f48a7e7da49a488d47a59,98,2,700,40,74%,65%
0178d7546a3722c1c73b86d42a0f8d343625f2d464fa5e747fd1c55f233a3986,21,20,368,102,74%,83%
017a1bd1b23a69234d5d8bfb045e038c243e0396b669b3f95d20c03f0aeb8612,19,26,433,116,86%,84%
017b530598cc17f74c9e53b8f1fe9f4e5b0fa88afcef77bcad03503d3bcbc543,56,4,370,61,45%,28%
017bcf157fcaa50497e81dd1b6478a7daab359a739c2b47032c1b7cf1ca2aefb,25,18,680,104,68%,75%
017d434dca68a689db703fc5bd99da975914039a6ff2d312809134eb7ea1f04b,22,4,185,72,20%,14%
017f3c7aa8c41d72783de44d7ff0806a01dd4626082b7f52dbe12455165a3001,23,11,243,92,39%,53%
0180152b741e30f7a385500cab36a0e4eb93f4b70d3740aaad85e920392d2224,19,11,587,88,41%,47%
0181aeb6e50636ba8a1d187f409a3494abd93172e6268ff7d3efe756653e8ec6,18,4,218,91,12%,11%
0182f146e56290a4a2160000610af0e9575e6e0d5ebbaf536f20ed0e0ea17bb1,21,5,253,115,9%,14%
01838612a15130368db113427e348912649c303fdd60a3461ceb70b213d33f9b,26,6,1006,29,60%,59%
0188fbe60664063b5adc955de224a1bb4879b807719be6b1bab466cd37af4460,26,30,647,112,95%,93%
018d4a8cb5b68d6ea5cae326c261f80a653e8442cd9089397b59a853d4131e24,23,26,343,114,88%,88%
018ec9f460d5197dec4e333df34e35b133a6f2357f42232c08114dc748c2527a,51,9,446,86,51%,75%
01967d6a59eb0feeacb69f7b2b2715fec28b7eb4f4ea76f9b169f76bed534b2b,25,13,500,113,38%,45%
01974b6a144f59e8f7e3dfe6177aa951137bca95072b74790f446e4ffc07bc9f,122,3,185,10,92%,100%
0199fbee0e633381fc3de71b42ec72f8b4945961d245c9ee8bd4923c765ea17e,32,8,267,77,39%,53%
019bfb8df7b54ee76eb4e2bebf300394fc9718158942d4e62064078e8c7eb060,73,2,244,16,72%,92%
019d2d2ef7d52662d8636285c82c5482c471072d183091d152152fa650b56794,21,14,265,112,39%,52%
019f16ad489205b21db73be82f8f9e7317e9c53fa72dd1d1cbe6f006f2ef1219,28,4,216,103,12%,10%
019f831bc03f2d1ca57533b601a19fdf91ea7940fea74ea824db28234db54109,79,2,91,13,76%,97%
01a3053d447b376efafdd270be54aac5077f7a99552b651cda63f8fbd5a874de,20,14,369,115,38%,48%
01a67df7a2476af4f4ac0d9f4abce3f39990eaf33f08760f280bce127b282ca9,53,15,205,76,81%,99%
